qid,P101,S854
Q87648581,Q63100,"""http://www.odis.be/lnk/PS_102802"""
Q291159,Q63100,"""http://www.odis.be/lnk/PS_79056"""
Q1965216,Q63100,"""http://www.odis.be/lnk/PS_66145"""
Q1952472,Q63100,"""http://www.odis.be/lnk/PS_86089"""
Q87648668,Q63100,"""http://www.odis.be/lnk/PS_102830"""
Q87648692,Q63100,"""http://www.odis.be/lnk/PS_88290"""
Q87648706,Q63100,"""http://www.odis.be/lnk/PS_73755"""
Q87648724,Q63100,"""http://www.odis.be/lnk/PS_97688"""
Q662885,Q63100,"""http://www.odis.be/lnk/PS_99477"""
Q1877439,Q63100,"""http://www.odis.be/lnk/PS_103212"""
Q55862675,Q63100,"""http://www.odis.be/lnk/PS_97826"""
Q3121278,Q63100,"""http://www.odis.be/lnk/PS_113339"""
Q1285546,Q63100,"""http://www.odis.be/lnk/PS_97955"""
Q87652014,Q63100,"""http://www.odis.be/lnk/PS_103117"""
Q2833582,Q63100,"""http://www.odis.be/lnk/PS_103206"""
Q87648804,Q63100,"""http://www.odis.be/lnk/PS_98055"""
Q87648819,Q63100,"""http://www.odis.be/lnk/PS_65722"""
Q87648911,Q63100,"""http://www.odis.be/lnk/PS_77699"""
Q87648917,Q63100,"""http://www.odis.be/lnk/PS_77857"""
Q20882,Q63100,"""http://www.odis.be/lnk/PS_113345"""
Q1284271,Q63100,"""http://www.odis.be/lnk/PS_113438"""
Q78680,Q63100,"""http://www.odis.be/lnk/PS_105635"""
Q76883422,Q63100,"""http://www.odis.be/lnk/PS_98419"""
Q3165657,Q63100,"""http://www.odis.be/lnk/PS_86071"""
Q2686303,Q63100,"""http://www.odis.be/lnk/PS_72240"""
Q2102118,Q63100,"""http://www.odis.be/lnk/PS_98513"""
Q87649057,Q63100,"""http://www.odis.be/lnk/PS_106139"""
Q87649134,Q63100,"""http://www.odis.be/lnk/PS_88305"""
Q16662886,Q63100,"""http://www.odis.be/lnk/PS_98593"""
Q87651787,Q63100,"""http://www.odis.be/lnk/PS_105734"""
Q87649159,Q63100,"""http://www.odis.be/lnk/PS_98607"""
Q87651795,Q63100,"""http://www.odis.be/lnk/PS_88291"""
Q38908178,Q63100,"""http://www.odis.be/lnk/PS_113352"""
Q87649273,Q63100,"""http://www.odis.be/lnk/PS_113347"""
Q83857375,Q63100,"""http://www.odis.be/lnk/PS_88292"""
Q16682591,Q63100,"""http://www.odis.be/lnk/PS_98823"""
Q87649319,Q63100,"""http://www.odis.be/lnk/PS_86086"""
Q87649325,Q63100,"""http://www.odis.be/lnk/PS_88306"""
Q1863470,Q63100,"""http://www.odis.be/lnk/PS_79057"""
Q3386704,Q63100,"""http://www.odis.be/lnk/PS_88389"""
Q87649366,Q63100,"""http://www.odis.be/lnk/PS_104930"""
Q87649401,Q63100,"""http://www.odis.be/lnk/PS_99738"""
Q15713494,Q63100,"""http://www.odis.be/lnk/PS_98962"""
Q362343,Q63100,"""http://www.odis.be/lnk/PS_113344"""
Q2319634,Q63100,"""http://www.odis.be/lnk/PS_64533"""
Q76659839,Q63100,"""http://www.odis.be/lnk/PS_99762"""
Q23696,Q63100,"""http://www.odis.be/lnk/PS_113336"""
Q55231107,Q63100,"""http://www.odis.be/lnk/PS_104676"""
Q87649519,Q63100,"""http://www.odis.be/lnk/PS_88512"""
Q26933793,Q63100,"""http://www.odis.be/lnk/PS_108266"""
Q16642502,Q63100,"""http://www.odis.be/lnk/PS_86174"""
Q87649631,Q63100,"""http://www.odis.be/lnk/PS_105496"""
Q16068878,Q63100,"""http://www.odis.be/lnk/PS_99191"""
Q87649720,Q63100,"""http://www.odis.be/lnk/PS_99229"""
Q2386329,Q63100,"""http://www.odis.be/lnk/PS_112874"""
Q17352305,Q63100,"""http://www.odis.be/lnk/PS_102183"""
Q18015130,Q63100,"""http://www.odis.be/lnk/PS_99244"""
Q14252289,Q63100,"""http://www.odis.be/lnk/PS_65195"""
Q3164477,Q63100,"""http://www.odis.be/lnk/PS_99260"""
Q1297794,Q63100,"""http://www.odis.be/lnk/PS_113342"""
Q87649758,Q63100,"""http://www.odis.be/lnk/PS_99290"""
Q87649760,Q63100,"""http://www.odis.be/lnk/PS_86084"""
Q57986414,Q63100,"""http://www.odis.be/lnk/PS_99304"""
Q87649766,Q63100,"""http://www.odis.be/lnk/PS_103214"""
Q87651829,Q63100,"""http://www.odis.be/lnk/PS_68094"""
Q4462414,Q63100,"""http://www.odis.be/lnk/PS_102812"""
Q1064737,Q63100,"""http://www.odis.be/lnk/PS_7296"""
Q2035838,Q63100,"""http://www.odis.be/lnk/PS_74794"""
Q62117673,Q82604,"""http://www.odis.be/lnk/PS_131892"""
Q62117665,Q82604,"""http://www.odis.be/lnk/PS_131893"""
Q87648567,Q82604,"""http://www.odis.be/lnk/PS_131894"""
Q76659699,Q82604,"""http://www.odis.be/lnk/PS_108826"""
Q3438664,Q82604,"""http://www.odis.be/lnk/PS_99381"""
Q19951785,Q82604,"""http://www.odis.be/lnk/PS_79088"""
Q3069044,Q82604,"""http://www.odis.be/lnk/PS_118597"""
Q87648583,Q82604,"""http://www.odis.be/lnk/PS_122173"""
Q1855119,Q82604,"""http://www.odis.be/lnk/PS_97426"""
Q87648584,Q82604,"""http://www.odis.be/lnk/PS_131897"""
Q87648585,Q82604,"""http://www.odis.be/lnk/PS_131898"""
Q28608050,Q82604,"""http://www.odis.be/lnk/PS_97452"""
Q87648588,Q82604,"""http://www.odis.be/lnk/PS_78973"""
Q87648603,Q82604,"""http://www.odis.be/lnk/PS_120542"""
Q466668,Q82604,"""http://www.odis.be/lnk/PS_110399"""
Q21458203,Q82604,"""http://www.odis.be/lnk/PS_119993"""
Q2949406,Q82604,"""http://www.odis.be/lnk/PS_86178"""
Q87648607,Q82604,"""http://www.odis.be/lnk/PS_124432"""
Q3383161,Q82604,"""http://www.odis.be/lnk/PS_79261"""
Q1952472,Q82604,"""http://www.odis.be/lnk/PS_86089"""
Q87648666,Q82604,"""http://www.odis.be/lnk/PS_99436"""
Q87648675,Q82604,"""http://www.odis.be/lnk/PS_101823"""
Q87648677,Q82604,"""http://www.odis.be/lnk/PS_105954"""
Q3300530,Q82604,"""http://www.odis.be/lnk/PS_85784"""
Q2339568,Q82604,"""http://www.odis.be/lnk/PS_86130"""
Q2830757,Q82604,"""http://www.odis.be/lnk/PS_86067"""
Q2835010,Q82604,"""http://www.odis.be/lnk/PS_86056"""
Q49633253,Q82604,"""http://www.odis.be/lnk/PS_86115"""
Q87648702,Q82604,"""http://www.odis.be/lnk/PS_131312"""
Q87648704,Q82604,"""http://www.odis.be/lnk/PS_110663"""
Q49633344,Q82604,"""http://www.odis.be/lnk/PS_97664"""
Q55312993,Q82604,"""http://www.odis.be/lnk/PS_128620"""
Q2097997,Q82604,"""http://www.odis.be/lnk/PS_100222"""
Q87648721,Q82604,"""http://www.odis.be/lnk/PS_124470"""
Q86051068,Q82604,"""http://www.odis.be/lnk/PS_97712"""
Q87648730,Q82604,"""http://www.odis.be/lnk/PS_104641"""
Q76883451,Q82604,"""http://www.odis.be/lnk/PS_97732"""
Q662885,Q82604,"""http://www.odis.be/lnk/PS_99477"""
Q2824800,Q82604,"""http://www.odis.be/lnk/PS_86141"""
Q87648736,Q82604,"""http://www.odis.be/lnk/PS_104708"""
Q87648747,Q82604,"""http://www.odis.be/lnk/PS_126347"""
Q47514867,Q82604,"""http://www.odis.be/lnk/PS_110721"""
Q13739591,Q82604,"""http://www.odis.be/lnk/PS_85810"""
Q52224411,Q82604,"""http://www.odis.be/lnk/PS_121038"""
Q14101030,Q82604,"""http://www.odis.be/lnk/PS_96754"""
Q87648755,Q82604,"""http://www.odis.be/lnk/PS_87525"""
Q87648757,Q82604,"""http://www.odis.be/lnk/PS_87501"""
Q87648759,Q82604,"""http://www.odis.be/lnk/PS_87503"""
Q87648760,Q82604,"""http://www.odis.be/lnk/PS_87526"""
Q87648768,Q82604,"""http://www.odis.be/lnk/PS_97832"""
Q1267215,Q82604,"""http://www.odis.be/lnk/PS_77740"""
Q2039767,Q82604,"""http://www.odis.be/lnk/PS_96569"""
Q19952292,Q82604,"""http://www.odis.be/lnk/PS_94586"""
Q13739810,Q82604,"""http://www.odis.be/lnk/PS_99520"""
Q43266283,Q82604,"""http://www.odis.be/lnk/PS_105747"""
Q3123226,Q82604,"""http://www.odis.be/lnk/PS_132828"""
Q3105675,Q82604,"""http://www.odis.be/lnk/PS_127378"""
Q52226495,Q82604,"""http://www.odis.be/lnk/PS_128624"""
Q87648801,Q82604,"""http://www.odis.be/lnk/PS_99500"""
Q49633392,Q82604,"""http://www.odis.be/lnk/PS_98023"""
Q49633400,Q82604,"""http://www.odis.be/lnk/PS_98025"""
Q64233041,Q82604,"""http://www.odis.be/lnk/PS_73139"""
Q31145834,Q82604,"""http://www.odis.be/lnk/PS_78995"""
Q3171641,Q82604,"""http://www.odis.be/lnk/PS_98041"""
Q87648815,Q82604,"""http://www.odis.be/lnk/PS_106470"""
Q16066004,Q82604,"""http://www.odis.be/lnk/PS_98081"""
Q2831134,Q82604,"""http://www.odis.be/lnk/PS_79236"""
Q17428170,Q82604,"""http://www.odis.be/lnk/PS_106815"""
Q1821494,Q82604,"""http://www.odis.be/lnk/PS_67089"""
Q87648928,Q82604,"""http://www.odis.be/lnk/PS_113290"""
Q28496463,Q82604,"""http://www.odis.be/lnk/PS_98261"""
Q87648948,Q82604,"""http://www.odis.be/lnk/PS_119551"""
Q49633408,Q82604,"""http://www.odis.be/lnk/PS_98279"""
Q52224526,Q82604,"""http://www.odis.be/lnk/PS_98353"""
Q87652022,Q82604,"""http://www.odis.be/lnk/PS_98359"""
Q1075644,Q82604,"""http://www.odis.be/lnk/PS_78979"""
Q2997457,Q82604,"""http://www.odis.be/lnk/PS_78994"""
Q87649014,Q82604,"""http://www.odis.be/lnk/PS_110546"""
Q13641206,Q82604,"""http://www.odis.be/lnk/PS_66217"""
Q3102887,Q82604,"""http://www.odis.be/lnk/PS_77903"""
Q2030801,Q82604,"""http://www.odis.be/lnk/PS_99621"""
Q1054265,Q82604,"""http://www.odis.be/lnk/PS_3595"""
Q16638703,Q82604,"""http://www.odis.be/lnk/PS_133210"""
Q42853497,Q82604,"""http://www.odis.be/lnk/PS_98511"""
Q50355864,Q82604,"""http://www.odis.be/lnk/PS_127361"""
Q3385569,Q82604,"""http://www.odis.be/lnk/PS_127362"""
Q3057014,Q82604,"""http://www.odis.be/lnk/PS_85901"""
Q2306385,Q82604,"""http://www.odis.be/lnk/PS_113703"""
Q87649113,Q82604,"""http://www.odis.be/lnk/PS_124563"""
Q87649124,Q82604,"""http://www.odis.be/lnk/PS_98559"""
Q87649128,Q82604,"""http://www.odis.be/lnk/PS_113410"""
Q2320325,Q82604,"""http://www.odis.be/lnk/PS_118736"""
Q87649201,Q82604,"""http://www.odis.be/lnk/PS_105739"""
Q49581873,Q82604,"""http://www.odis.be/lnk/PS_64157"""
Q87649233,Q82604,"""http://www.odis.be/lnk/PS_98735"""
Q52224898,Q82604,"""http://www.odis.be/lnk/PS_9983"""
Q3302164,Q82604,"""http://www.odis.be/lnk/PS_127360"""
Q87649243,Q82604,"""http://www.odis.be/lnk/PS_118573"""
Q87649245,Q82604,"""http://www.odis.be/lnk/PS_99674"""
Q2524332,Q82604,"""http://www.odis.be/lnk/PS_101334"""
Q2320099,Q82604,"""http://www.odis.be/lnk/PS_105641"""
Q87649299,Q82604,"""http://www.odis.be/lnk/PS_122105"""
Q87649306,Q82604,"""http://www.odis.be/lnk/PS_73140"""
Q41881928,Q82604,"""http://www.odis.be/lnk/PS_133218"""
Q3159685,Q82604,"""http://www.odis.be/lnk/PS_85952"""
Q2098073,Q82604,"""http://www.odis.be/lnk/PS_105625"""
Q2200928,Q82604,"""http://www.odis.be/lnk/PS_99709"""
Q87649349,Q82604,"""http://www.odis.be/lnk/PS_133159"""
Q1863470,Q82604,"""http://www.odis.be/lnk/PS_79057"""
Q29577072,Q82604,"""http://www.odis.be/lnk/PS_98910"""
Q381924,Q82604,"""http://www.odis.be/lnk/PS_98911"""
Q2236322,Q82604,"""http://www.odis.be/lnk/PS_86148"""
